bundle	deleted	entity_id	revision_id	langcode	delta	field_event_date_value
event	0	11358	11358	und	0	1913-12-16
event	0	11359	158104	und	0	1914-01-25
event	0	11360	158148	und	0	1914-01-27
event	0	11362	11362	und	0	1914-03-27
event	0	11363	11363	und	0	1914-06-29
event	0	11365	11365	und	0	1914-07-01
event	0	11366	11366	und	0	1914-07-18
event	0	11367	161858	und	0	1914-07-28
event	0	11368	11368	und	0	1914-08-04
event	0	11369	11369	und	0	1914-08-26
event	0	11370	11370	und	0	1914-09-15
event	0	11371	11371	und	0	1914-09-20
event	0	11372	155698	und	0	1941-09-23
event	0	11373	164792	und	0	1914-11-18
event	0	11374	11374	und	0	1914-12-20
event	0	11375	157791	und	0	1915-01-12
event	0	11376	11376	und	0	1915-02-02
event	0	11377	11377	und	0	1915-02-26
event	0	11379	11379	und	0	1915-05-13
event	0	11380	11380	und	0	1915-05-24
event	0	11381	160932	und	0	1915-06-15
event	0	11382	11382	und	0	1915-07-17
event	0	11383	155675	und	0	1915-09-20
event	0	11384	11384	und	0	1915-10-20
event	0	11385	173544	und	0	1915-12-13
event	0	11386	11386	und	0	1915-12-21
event	0	11387	11387	und	0	1916-01-12
event	0	11388	158927	und	0	1916-03-05
event	0	11389	159294	und	0	1916-04-06
event	0	11390	11390	und	0	1916-06-05
event	0	11391	11391	und	0	1916-07-06
event	0	11392	11392	und	0	1916-07-13
event	0	11393	161576	und	0	1916-07-15
event	0	11394	11394	und	0	1916-09-26
event	0	11397	158947	und	0	1917-03-08
event	0	11399	173354	und	0	1917-11-07
event	0	11400	11400	und	0	1917-12-04
event	0	11404	162823	und	0	1918-09-14
event	0	11405	157677	und	0	1918-12-26
event	0	11406	157676	und	0	1919-01-07
event	0	11408	11408	und	0	1919-02-15
event	0	11410	11410	und	0	1919-03-11
event	0	11411	159752	und	0	1919-04-28
event	0	11412	172632	und	0	1919-08-27
event	0	11413	168923	und	0	1919-09-03
event	0	11414	163026	und	0	1919-09-17
event	0	11415	11415	und	0	1919-10-25
event	0	11416	164409	und	0	1919-11-10
event	0	11418	157512	und	0	1917-12-12
event	0	11419	11419	und	0	1919-12-27
event	0	11420	157401	und	0	1920-01-10
event	0	11421	157308	und	0	1920-02-01
event	0	11422	11422	und	0	1920-02-04
event	0	11423	11423	und	0	1920-02-18
event	0	11424	11424	und	0	1920-10-23
event	0	11425	164623	und	0	1920-11-12
event	0	11426	164671	und	0	1920-11-15
event	0	11427	11427	und	0	1920-12-17
